00-avengers-company_business,04-iGMM-company_business
"['energy', 'oil and gas', 'utilities', 'gas utilities']","['financial services', 'asset management', 'investments']"
"['real estate', 'consumer services', 'hotels', 'resorts', 'property investments']","['consumer defensive', 'fmcg', 'package foods']"
"['basic materials', 'mining']","['industries', 'industry machinery']"
"['consumer cyclical', 'retail', 'department stores', 'super markets']","['healthcare', 'pharmaceutical']"
"['industries', 'railway']","['healthcare', 'pharmaceutical']"
"['financial services', 'asset management']","['healthcare', 'medical equipment']"
"['communication services', 'conglomerate', 'telecom']","['technology', 'software and it', 'digital payment solution services']"
"['financial services', 'asset management']","['consumer defensive', 'food and beverage', 'beverages']"
real estate,"['real estate', 'construction']"
"['healthcare', 'pharmacy', 'pharmaceutical']","['industries', 'construction', 'engineering products']"
"['real estate', 'construction']","['industries', 'technology', 'batteries']"
"['consumer defensive', 'food and beverage', 'beverages', 'fmcg', 'package foods', 'food products']","['basic materials', 'iron and steel']"
"['technology', 'software and it', 'digital payment solution services']","['basic materials', 'mining', 'gold mining']"
"['healthcare', 'medical equipment']","['industries', 'industry machinery']"
"['healthcare', 'pharmaceutical']","['industries', 'industry machinery']"
"['healthcare', 'pharmaceutical']","['real estate', 'property investments', 'commercial properties']"
"['industries', 'industry machinery']","['technology', 'electronics', 'consumer electronics']"
"['consumer defensive', 'fmcg', 'package foods', 'food products']","['industries', 'aerospace and defense', 'engines manufacturing']"
"['financial services', 'asset management', 'investments']","['ecommerce', 'retail', 'internet or mobile app based business']"
"['industries', 'construction', 'engineering products', 'engineering services']","['software and it', 'digital payment solution services', 'technology']"
"['ecommerce', 'retail', 'internet or mobile app based business']","['internet or mobile app based business', 'ecommerce', 'eyewear']"
"['industries', 'aerospace and defense', 'engines manufacturing', 'aircraft parts', 'technology']","['industries', 'security systems and solutions', 'technology hardware and instruments']"
"['technology', 'electronics', 'consumer electronics']","['industries', 'shipping']"
"['real estate', 'property investments', 'commercial properties']","['basic materials', 'chemicals']"
"['industries', 'industry machinery']","['real estate', 'consumer services', 'property investments']"
"['industries', 'industry machinery']","['technology', 'software and it', 'technology hardware and instruments']"
"['basic materials', 'mining', 'gold mining', 'metals', 'precious metals']","['financial services', 'banking services']"
"['basic materials', 'iron and steel']","['technology', 'software and it']"
"['industries', 'technology', 'batteries', 'electronics', 'electrical products']","['industries', 'electrical products', 'power equipment']"
"['software and it', 'digital payment solution services', 'technology', 'technology hardware and instruments', 'software products']","['industries', 'building products and equipment', 'construction']"
"['industries', 'electrical products', 'power equipment', 'power systems', 'solar power devices', 'inverters', 'industry machinery']","['technology', 'semiconductors', 'processors / chips']"
"['technology', 'software and it']","['consumer cyclical', 'retail']"
"['financial services', 'banking services']","['consumer defensive', 'non-alcoholic beverages', 'beverages']"
"['technology', 'software and it', 'technology hardware and instruments']","['consumer cyclical', 'retail', 'consumer services']"
"['real estate', 'consumer services', 'property investments', 'commercial properties']","['consumer defensive', 'food and beverage', 'food products']"
"['basic materials', 'chemicals']","['healthcare', 'medical equipment']"
"['industries', 'shipping']","['basic materials', 'chemicals']"
"['industries', 'security systems and solutions', 'technology hardware and instruments', 'technology']","['industries', 'conglomerate', 'power generation']"
"['internet or mobile app based business', 'ecommerce', 'eyewear', 'retail']","['healthcare', 'biotechnology']"
"['industries', 'building products and equipment', 'construction']","['utilities', 'water utilities']"
"['healthcare', 'biotechnology']","['financial services', 'banking services']"
"['industries', 'conglomerate', 'power generation', 'electricity generation', 'forest products', 'real estate']","['industries', 'shipping']"
"['basic materials', 'chemicals']","['real estate', 'hotels', 'consumer services']"
"['healthcare', 'medical equipment']",['construction materials']
"['consumer defensive', 'food and beverage', 'food products', 'beverages', 'dairy products', 'chocolate & confectionery', 'fmcg', 'package foods']","['real estate', 'rent / lease services']"
"['consumer cyclical', 'retail', 'consumer services']","['healthcare', 'pharmaceutical']"
"['consumer defensive', 'non-alcoholic beverages', 'beverages']","['basic materials', 'chemicals']"
"['consumer cyclical', 'retail']","['consumer cyclical', 'retail', 'super markets']"
"['technology', 'semiconductors', 'processors / chips', 'technology hardware and instruments']","['industries', 'infrastructure']"
"['utilities', 'water utilities']","['healthcare', 'biotechnology', 'medical equipment']"
"['industries', 'infrastructure']","['industries', 'aerospace and defense', 'product testing services']"
"['consumer cyclical', 'retail', 'super markets']","['industries', 'building products and equipment']"
"['basic materials', 'chemicals']","['consumer defensive', 'animal feed', 'meat / poultry / fish / chicken']"
"['healthcare', 'pharmaceutical']","['technology', 'software and it', 'software products']"
"['real estate', 'rent / lease services']","['utilities', 'electricity generation', 'electric utilities']"
construction materials,"['communication services', 'gaming']"
"['real estate', 'hotels', 'consumer services', 'resorts', 'property investments']","['consumer cyclical', 'restaurants', 'entertainment']"
"['industries', 'shipping']","['real estate', 'property investments', 'investments']"
"['financial services', 'banking services']","['consumer defensive', 'fmcg', 'meat / poultry / fish / chicken']"
"['healthcare', 'biotechnology', 'medical equipment']","['industries', 'construction materials', 'building products and equipment']"
"['consumer defensive', 'fmcg', 'meat / poultry / fish / chicken', 'food products', 'consumer non durables', 'farming / seeds / milling']","['technology', 'software and it', 'software products']"
"['real estate', 'property investments', 'investments']","['consumer defensive', 'tobacco products', 'tobacco and cigarette']"
"['consumer cyclical', 'restaurants', 'entertainment']","['basic materials', 'chemicals']"
"['communication services', 'gaming']","['basic materials', 'construction materials']"
"['utilities', 'electricity generation', 'electric utilities']","['consumer defensive', 'fmcg', 'package foods']"
"['technology', 'software and it', 'software products']","['technology', 'communications equipment']"
"['consumer defensive', 'animal feed', 'meat / poultry / fish / chicken', 'automobile parts', 'conglomerate']","['financial services', 'asset management']"
"['industries', 'building products and equipment']","['consumer cyclical', 'apparels and accessories', 'textile']"
"['industries', 'aerospace and defense', 'product testing services', 'technology']","['industries', 'industry machinery']"
"['industries', 'construction materials', 'building products and equipment']","['financial services', 'insurance']"
"['industries', 'industry machinery']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['consumer cyclical', 'apparels and accessories', 'textile']","['technology', 'technology hardware and instruments']"
"['financial services', 'asset management']",['real estate']
"['technology', 'communications equipment']","['basic materials', 'mining']"
"['consumer defensive', 'fmcg', 'package foods', 'food products']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['basic materials', 'construction materials']","['technology', 'software and it', 'network hardware and software']"
"['basic materials', 'chemicals']","['consumer defensive', 'food chains / distributor']"
"['consumer defensive', 'tobacco products', 'tobacco and cigarette']","['technology', 'electronics', 'capital goods']"
"['technology', 'software and it', 'software products', 'software and it infrastructure']","['industries', 'mining', 'iron and steel']"
"['financial services', 'insurance']","['industries', 'airlines', 'aviation']"
"['industries', 'mining', 'iron and steel', 'metals', 'capital goods', 'building products and equipment']","['basic materials', 'chemicals']"
"['technology', 'electronics', 'capital goods', 'industry machinery']","['industries', 'industry machinery']"
"['consumer defensive', 'food chains / distributor']",['asset management']
"['technology', 'software and it', 'network hardware and software', 'networking products / solutions']","['utilities', 'gas utilities']"
"['healthcare', 'pharmaceutical', 'healthcare products', 'biotechnology', 'technology']","['financial services', 'asset management']"
"['basic materials', 'mining']","['consumer defensive', 'fmcg', 'package foods']"
real estate,"['basic materials', 'aluminum']"
"['technology', 'technology hardware and instruments']","['financial services', 'banking services']"
"['healthcare', 'pharmaceutical', 'healthcare products']","['basic materials', 'chemicals', 'conglomerate']"
"['industries', 'airlines', 'aviation']","['basic materials', 'mining']"
"['basic materials', 'chemicals', 'conglomerate', 'fmcg', 'construction materials', 'fertilizers', 'plastics / plastic products', 'sugar', 'agriculture products', 'home furnishing']","['communication services', 'publishing']"
"['financial services', 'banking services']","['financial services', 'banking services']"
"['basic materials', 'aluminum']","['communication services', 'publishing']"
"['consumer defensive', 'fmcg', 'package foods', 'food products']","['consumer cyclical', 'hotels', 'travel and transport']"
"['financial services', 'asset management']","['technology', 'software and it infrastructure']"
"['utilities', 'gas utilities']","['consumer cyclical', 'consumer services', 'retail']"
asset management,"['utilities', 'renewable energy', 'gas utilities']"
"['basic materials', 'chemicals']","['communication services', 'advertising']"
"['industries', 'industry machinery']","['communication services', 'technology', 'telecom']"
"['basic materials', 'mining']","['healthcare', 'biotechnology']"
"['communication services', 'technology', 'telecom']","['consumer defensive', 'alcoholic beverages', 'beverages']"
"['communication services', 'advertising']","['consumer cyclical', 'retail', 'super markets']"
"['utilities', 'renewable energy', 'gas utilities']","['basic materials', 'forest products', 'wood products']"
"['consumer cyclical', 'consumer services', 'retail', 'fashion and luxury goods', 'apparels and accessories']","['basic materials', 'agriculture related']"
"['technology', 'software and it infrastructure']","['basic materials', 'chemicals']"
"['consumer cyclical', 'hotels', 'travel and transport']","['asset management', 'investments']"
"['communication services', 'publishing']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['financial services', 'banking services']","['technology', 'electronics', 'semiconductors']"
"['communication services', 'publishing']","['technology', 'software and it']"
"['healthcare', 'biotechnology']","['financial services', 'banking services']"
"['technology', 'software and it']",['real estate']
"['technology', 'electronics', 'semiconductors']",['real estate']
"['healthcare', 'pharmaceutical', 'healthcare products']","['communication services', 'gaming']"
"['asset management', 'investments']","['energy', 'oil and gas']"
"['basic materials', 'chemicals']","['financial services', 'banking services']"
"['basic materials', 'agriculture related']","['consumer cyclical', 'retail', 'construction materials']"
"['basic materials', 'forest products', 'wood products']","['technology', 'software and it', 'data centers']"
"['consumer cyclical', 'retail', 'super markets']","['financial services', 'banking services']"
"['consumer defensive', 'alcoholic beverages', 'beverages']","['healthcare', 'healthcare products', 'health care diagnostics']"
"['financial services', 'banking services']","['consumer cyclical', 'footwear']"
"['healthcare', 'healthcare products', 'health care diagnostics']","['basic materials', 'chemicals']"
"['financial services', 'banking services']","['basic materials', 'iron and steel', 'metals']"
"['technology', 'software and it', 'data centers', 'software and it infrastructure']","['consumer defensive', 'food products', 'fmcg']"
"['consumer cyclical', 'retail', 'construction materials', 'home improvement']","['consumer defensive', 'chocolate & confectionery']"
"['financial services', 'banking services']","['healthcare', 'consumer services', 'healthcare technology and information']"
"['energy', 'oil and gas']","['basic materials', 'paper and pulp']"
"['communication services', 'gaming']","['consumer cyclical', 'automobile', 'automobile parts']"
real estate,"['industries', 'industry machinery']"
real estate,"['communication services', 'gaming']"
"['consumer cyclical', 'footwear']","['industries', 'freight transport', 'rent / lease services']"
"['communication services', 'gaming']","['technology', 'software and it']"
"['industries', 'industry machinery']","['real estate', 'consumer services', 'property investments']"
"['consumer cyclical', 'automobile', 'automobile parts']","['technology', 'electronics', 'capital goods']"
"['basic materials', 'paper and pulp']","['technology', 'electronics', 'capital goods']"
"['healthcare', 'consumer services', 'healthcare technology and information']",['real estate']
"['consumer defensive', 'chocolate & confectionery']",['industries']
"['consumer defensive', 'food products', 'fmcg', 'package foods']","['financial services', 'stock markets, trading, capital markets']"
"['basic materials', 'iron and steel', 'metals']","['industries', 'security systems and solutions']"
"['basic materials', 'chemicals']","['consumer cyclical', 'home furnishing']"
"['industries', 'freight transport', 'rent / lease services', 'aviation', 'transportation', 'logistics']","['consumer cyclical', 'retail']"
"['consumer cyclical', 'home furnishing']","['communication services', 'consumer services', 'entertainment']"
"['industries', 'security systems and solutions']","['consumer cyclical', 'automobile', 'automobile parts']"
"['financial services', 'stock markets, trading, capital markets']",['real estate']
real estate,['real estate']
industries,"['industries', 'rent / lease services']"
"['technology', 'electronics', 'capital goods']","['financial services', 'insurance']"
"['technology', 'electronics', 'capital goods']","['basic materials', 'pharmaceutical', 'healthcare products']"
"['real estate', 'consumer services', 'property investments']","['financial services', 'insurance']"
"['technology', 'software and it']","['real estate', 'consumer services', 'retail']"
"['consumer cyclical', 'retail']","['financial services', 'banking services']"
"['real estate', 'consumer services', 'retail', 'property investments', 'commercial properties']",[]
"['financial services', 'insurance']",['real estate']
"['basic materials', 'pharmaceutical', 'healthcare products', 'chemicals']","['consumer cyclical', 'packaging']"
"['financial services', 'insurance']","['real estate', 'property investments', 'commercial properties']"
"['industries', 'rent / lease services']",['financial services']
real estate,"['real estate', 'retail', 'property investments']"
real estate,"['industries', 'heavy machinery']"
"['consumer cyclical', 'automobile', 'automobile parts', 'consumer durables', 'automobile dealers']","['real estate', 'consumer services', 'property investments']"
"['communication services', 'consumer services', 'entertainment']","['energy', 'mining', 'coal mining']"
"['financial services', 'banking services']","['utilities', 'water utilities']"
"['energy', 'mining', 'coal mining']","['utilities', 'electric utilities']"
"['real estate', 'consumer services', 'property investments']","['technology', 'technology hardware and instruments', 'sensors']"
"['industries', 'heavy machinery']","['industries', 'industry machinery']"
"['real estate', 'retail', 'property investments', 'commercial properties']","['technology', 'electronics', 'capital goods']"
financial services,"['healthcare', 'pharmaceutical', 'healthcare products']"
"['real estate', 'property investments', 'commercial properties']","['financial services', 'software and it', 'technology']"
"['consumer cyclical', 'packaging']","['financial services', 'investments', 'asset management']"
real estate,"['communication services', 'entertainment']"
,"['industries', 'construction']"
"['utilities', 'water utilities']",['real estate']
"['industries', 'construction']","['basic materials', 'chemicals']"
"['communication services', 'entertainment']","['industries', 'railway', 'transportation']"
"['financial services', 'investments', 'asset management']","['education', 'training services', 'internet or mobile app based business']"
"['financial services', 'software and it', 'technology', 'software products']","['healthcare', 'healthcare products', 'biotechnology']"
"['healthcare', 'pharmaceutical', 'healthcare products']","['communication services', 'software and it', 'technology']"
"['technology', 'electronics', 'capital goods']","['technology', 'software and it']"
"['industries', 'industry machinery']","['consumer cyclical', 'restaurants', 'consumer services']"
"['technology', 'technology hardware and instruments', 'sensors']","['industries', 'business services', 'security systems and solutions']"
"['utilities', 'electric utilities']","['basic materials', 'iron and steel', 'metals']"
real estate,"['consumer defensive', 'farming / seeds / milling']"
"['basic materials', 'iron and steel', 'metals', 'mining']","['industries', 'power equipment', 'electrical products']"
"['industries', 'business services', 'security systems and solutions']","['communication services', 'advertising', 'market research']"
"['consumer cyclical', 'restaurants', 'consumer services']","['consumer cyclical', 'retail', 'ecommerce']"
"['technology', 'software and it']","['consumer cyclical', 'retail', 'beauty and personal care']"
"['communication services', 'software and it', 'technology', 'software products', 'internet or mobile app based business', 'advertising']","['healthcare', 'medical equipment']"
"['healthcare', 'healthcare products', 'biotechnology']","['consumer cyclical', 'textile']"
"['education', 'training services', 'internet or mobile app based business']","['consumer defensive', 'retail', 'convenience stores']"
"['industries', 'railway', 'transportation']","['basic materials', 'chemicals']"
"['basic materials', 'chemicals']","['consumer cyclical', 'retail', 'real estate']"
"['consumer defensive', 'farming / seeds / milling']","['basic materials', 'chemicals']"
"['consumer cyclical', 'retail', 'real estate']","['industries', 'transportation', 'consumer services']"
"['basic materials', 'chemicals']","['consumer cyclical', 'automobile', 'cars']"
"['consumer defensive', 'retail', 'convenience stores']","['real estate', 'construction', 'rent / lease services']"
"['consumer cyclical', 'textile']","['utilities', 'electric utilities', 'renewable energy']"
"['healthcare', 'medical equipment']","['energy', 'oil and gas']"
"['consumer cyclical', 'retail', 'beauty and personal care', 'consumer services']","['consumer defensive', 'cosmetics', 'beauty and personal care']"
"['consumer cyclical', 'retail', 'ecommerce', 'internet or mobile app based business', 'super markets']","['consumer cyclical', 'automobile', 'automobile parts']"
"['communication services', 'advertising', 'market research']","['utilities', 'electric utilities', 'renewable energy']"
"['industries', 'power equipment', 'electrical products']","['industries', 'electrical products', 'cables and wires']"
"['basic materials', 'chemicals']","['real estate', 'retail', 'property investments']"
"['industries', 'electrical products', 'cables and wires']","['financial services', 'asset management']"
"['utilities', 'electric utilities', 'renewable energy']","['real estate', 'rent / lease services', 'industries']"
"['consumer cyclical', 'automobile', 'automobile parts', 'consumer durables', 'retail']","['consumer cyclical', 'apparels and accessories']"
"['consumer defensive', 'cosmetics', 'beauty and personal care', 'personal care products', 'fmcg']",['asset management']
"['energy', 'oil and gas']","['financial services', 'banking services']"
"['utilities', 'electric utilities', 'renewable energy']","['utilities', 'infrastructure', 'gas utilities']"
"['real estate', 'construction', 'rent / lease services']","['industries', 'construction']"
"['consumer cyclical', 'automobile', 'cars']","['industries', 'construction', 'metal fabrication products']"
"['industries', 'transportation', 'consumer services', 'marine transportation', 'shipping']","['industries', 'technology hardware and instruments', 'financial services']"
"['real estate', 'retail', 'property investments', 'commercial properties']","['financial services', 'banking services']"
"['industries', 'technology hardware and instruments', 'financial services', 'business services']","['financial services', 'banking services']"
"['industries', 'construction', 'metal fabrication products', 'iron and steel']","['industries', 'industry machinery']"
"['industries', 'construction']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['utilities', 'infrastructure', 'gas utilities']","['technology', 'communications equipment']"
"['financial services', 'banking services']","['energy', 'oil and gas', 'oil refining']"
asset management,"['financial services', 'banking services']"
"['consumer cyclical', 'apparels and accessories']","['financial services', 'asset management']"
"['real estate', 'rent / lease services', 'industries', 'business services']","['basic materials', 'copper mining']"
"['financial services', 'asset management']","['real estate', 'construction', 'property investments']"
"['financial services', 'banking services']","['basic materials', 'chemicals']"
"['real estate', 'construction', 'property investments', 'commercial properties']","['healthcare', 'medical equipment']"
"['basic materials', 'copper mining']","['energy', 'oil and gas']"
"['financial services', 'asset management']","['consumer cyclical', 'animal healthcare companies', 'consumer services']"
"['financial services', 'banking services']","['consumer cyclical', 'retail', 'consumer services']"
"['energy', 'oil and gas', 'oil refining', 'fertilizers', 'chemicals']","['consumer defensive', 'farming / seeds / milling', 'agriculture related']"
"['technology', 'communications equipment']","['technology', 'software and it']"
"['healthcare', 'pharmaceutical', 'healthcare products']",['asset management']
"['industries', 'industry machinery']","['technology', 'electronics', 'capital goods']"
"['financial services', 'banking services']","['consumer cyclical', 'retail', 'convenience stores']"
"['basic materials', 'chemicals']","['real estate', 'consumer services', 'property investments']"
"['consumer cyclical', 'retail', 'convenience stores']","['technology', 'software and it', 'software products']"
"['technology', 'electronics', 'capital goods']",['real estate']
asset management,"['industries', 'construction']"
"['technology', 'software and it']","['technology', 'software and it infrastructure']"
"['consumer defensive', 'farming / seeds / milling', 'agriculture related', 'scientific research products']","['technology', 'semiconductors']"
"['consumer cyclical', 'retail', 'consumer services']","['consumer cyclical', 'textile']"
"['consumer cyclical', 'animal healthcare companies', 'consumer services']","['real estate', 'property investments']"
"['energy', 'oil and gas']","['healthcare', 'medical equipment']"
"['healthcare', 'medical equipment']","['metal fabrication products', 'metal products manufacturing']"
"['real estate', 'consumer services', 'property investments']","['financial services', 'conglomerate']"
"['metal fabrication products', 'metal products manufacturing']","['energy', 'oil and gas']"
"['healthcare', 'medical equipment']","['technology', 'software and it', 'software products']"
"['real estate', 'property investments']",[]
"['consumer cyclical', 'textile']","['healthcare', 'biotechnology', 'technology']"
"['technology', 'semiconductors']",['real estate']
"['technology', 'software and it infrastructure']","['industries', 'logistics']"
"['industries', 'construction']","['industries', 'airlines', 'aviation']"
real estate,"['consumer defensive', 'fmcg', 'package foods']"
"['technology', 'software and it', 'software products']","['basic materials', 'copper mining']"
"['financial services', 'conglomerate']","['industries', 'industry machinery']"
"['basic materials', 'copper mining']","['industries', 'lighting products', 'electrical products']"
"['consumer defensive', 'fmcg', 'package foods', 'food products']","['industries', 'infrastructure', 'engineering services']"
"['industries', 'airlines', 'aviation']",['asset management']
"['industries', 'logistics']",[]
real estate,"['real estate', 'investments', 'property investments']"
"['healthcare', 'biotechnology', 'technology', 'healthcare products', 'health care diagnostics']",['real estate']
,['utilities']
"['technology', 'software and it', 'software products']","['technology', 'software and it']"
"['energy', 'oil and gas']","['real estate', 'consumer services', 'property investments']"
"['industries', 'industry machinery']","['industries', 'business services']"
"['real estate', 'consumer services', 'property investments', 'commercial properties']","['industries', 'consumer services', 'professional services']"
"['technology', 'software and it']","['consumer cyclical', 'retail']"
utilities,"['industries', 'real estate', 'infrastructure']"
real estate,"['energy', 'oil and gas']"
"['real estate', 'investments', 'property investments']","['consumer defensive', 'retail']"
,"['industries', 'airlines', 'aviation']"
asset management,"['technology', 'communications equipment']"
"['industries', 'infrastructure', 'engineering services']","['technology', 'communications equipment']"
"['industries', 'lighting products', 'electrical products']","['technology', 'semiconductors']"
"['industries', 'business services']","['industries', 'rent / lease services']"
"['technology', 'semiconductors']","['consumer cyclical', 'automobile']"
"['technology', 'communications equipment']","['communication services', 'telecom']"
"['technology', 'communications equipment']","['financial services', 'insurance']"
"['industries', 'airlines', 'aviation']","['basic materials', 'chemicals', 'fertilizers']"
"['consumer defensive', 'retail']","['technology', 'electronics', 'semiconductors']"
"['energy', 'oil and gas']","['basic materials', 'chemicals']"
"['industries', 'real estate', 'infrastructure', 'consumer services', 'engineering products', 'construction']","['consumer cyclical', 'retail']"
"['consumer cyclical', 'retail']",['asset management']
"['industries', 'consumer services', 'professional services', 'consulting services']","['communication services', 'media', 'advertising']"
"['industries', 'rent / lease services']","['technology', 'software and it']"
"['communication services', 'media', 'advertising', 'broadcasting', 'consumer services', 'television services']","['industries', 'waste and trash management']"
asset management,"['financial services', 'insurance']"
"['consumer cyclical', 'retail']","['technology', 'electronics', 'capital goods']"
"['basic materials', 'chemicals']",['healthcare']
"['technology', 'electronics', 'semiconductors']","['basic materials', 'iron and steel']"
"['financial services', 'insurance']","['financial services', 'banking services']"
"['basic materials', 'chemicals', 'fertilizers', 'agriculture related']","['healthcare', 'pharmaceutical']"
"['communication services', 'telecom']","['financial services', 'banking services']"
"['consumer cyclical', 'automobile']","['communication services', 'telecom']"
"['technology', 'software and it']","['consumer cyclical', 'apparels and accessories', 'textile']"
"['communication services', 'telecom']","['basic materials', 'chemicals']"
"['financial services', 'banking services']","['energy', 'oil and gas']"
"['healthcare', 'pharmaceutical']","['healthcare', 'biotechnology']"
"['financial services', 'banking services']","['software and it', 'technology']"
"['basic materials', 'iron and steel']",['real estate']
healthcare,"['healthcare', 'healthcare service', 'insurance']"
"['technology', 'electronics', 'capital goods']","['financial services', 'banking services']"
"['financial services', 'insurance']","['real estate', 'construction']"
"['industries', 'waste and trash management']","['industries', 'electrical products']"
"['consumer cyclical', 'apparels and accessories', 'textile']","['financial services', 'asset management']"
"['industries', 'electrical products']","['financial services', 'asset management']"
"['real estate', 'construction']",['financial services']
"['financial services', 'banking services']","['consumer defensive', 'chemicals', 'consumer durables']"
"['healthcare', 'healthcare service', 'insurance']","['industries', 'construction', 'engineering services']"
real estate,['financial services']
"['software and it', 'technology']","['technology', 'semiconductors']"
"['healthcare', 'biotechnology']","['financial services', 'asset management']"
"['energy', 'oil and gas']",['financial services']
"['basic materials', 'chemicals']","['technology', 'electronics', 'capital goods']"
"['financial services', 'asset management']","['financial services', 'banking services']"
"['technology', 'electronics', 'capital goods', 'semiconductors']","['industries', 'railway']"
financial services,"['technology', 'capital goods', 'communications equipment']"
"['financial services', 'asset management']","['industries', 'rent / lease services', 'construction equipment']"
"['technology', 'semiconductors']","['industries', 'industry machinery']"
financial services,"['communication services', 'gaming', 'video games / mobile games / tech games / casino games']"
"['industries', 'construction', 'engineering services', 'travel and transport', 'freight transport', 'consulting services', 'rent / lease services']","['gaming', 'technology', 'computers hardware']"
"['consumer defensive', 'chemicals', 'consumer durables', 'fmcg']",['financial services']
financial services,"['real estate', 'property investments']"
"['financial services', 'asset management']","['technology', 'semiconductors', 'electronics']"
"['financial services', 'banking services']","['financial services', 'asset management']"
"['technology', 'semiconductors', 'electronics']","['industries', 'construction']"
"['real estate', 'property investments']","['financial services', 'banking services']"
financial services,"['basic materials', 'chemicals']"
"['gaming', 'technology', 'computers hardware', 'technology hardware and instruments']","['technology', 'semiconductors']"
"['communication services', 'gaming', 'video games / mobile games / tech games / casino games', 'software and it infrastructure']","['utilities', 'water utilities']"
"['industries', 'industry machinery']","['consumer cyclical', 'automobile', 'automobile parts']"
"['industries', 'rent / lease services', 'construction equipment']","['real estate', 'consumer services', 'retail']"
"['technology', 'capital goods', 'communications equipment']","['healthcare', 'investments', 'asset management']"
"['industries', 'railway']","['technology', 'electronics', 'capital goods']"
"['financial services', 'asset management']","['industries', 'shipping']"
"['technology', 'electronics', 'capital goods']","['financial services', 'banking services']"
"['healthcare', 'investments', 'asset management']","['healthcare', 'biotechnology']"
"['real estate', 'consumer services', 'retail', 'property investments', 'commercial properties']","['technology', 'software and it']"
"['consumer cyclical', 'automobile', 'automobile parts', 'consumer services']","['technology', 'software and it']"
"['utilities', 'water utilities']","['communication services', 'gaming']"
"['technology', 'semiconductors']","['industries', 'printing', 'business services']"
"['basic materials', 'chemicals']","['energy', 'oil and gas', 'oil refining']"
"['financial services', 'banking services']","['energy', 'oil and gas']"
"['industries', 'construction']","['technology', 'software and it']"
"['industries', 'shipping']",['real estate']
"['technology', 'software and it']","['industries', 'railway', 'railway vehicles and railway components']"
"['energy', 'oil and gas']","['technology', 'semiconductors']"
"['energy', 'oil and gas', 'oil refining']","['technology', 'engineering products', 'semiconductors']"
"['industries', 'printing', 'business services']","['financial services', 'banking services']"
"['communication services', 'gaming']","['energy', 'oil and gas', 'utilities']"
"['technology', 'software and it']","['financial services', 'asset management']"
"['technology', 'software and it']","['consumer defensive', 'tobacco products', 'tobacco and cigarette']"
"['healthcare', 'biotechnology']","['consumer defensive', 'fmcg', 'package foods']"
"['financial services', 'banking services']","['consumer cyclical', 'automobile', 'automobile parts']"
real estate,"['technology', 'internet or mobile app based business', 'ecommerce']"
"['consumer cyclical', 'automobile', 'automobile parts']","['financial services', 'insurance']"
"['consumer defensive', 'fmcg', 'package foods', 'food products']","['utilities', 'electronics', 'electrical products']"
"['consumer defensive', 'tobacco products', 'tobacco and cigarette']","['financial services', 'banking services']"
"['financial services', 'asset management']","['financial services', 'banking services']"
"['energy', 'oil and gas', 'utilities', 'gas utilities']","['technology', 'software and it']"
"['financial services', 'banking services']","['technology', 'semiconductors']"
"['technology', 'engineering products', 'semiconductors']",['precious metals']
"['technology', 'semiconductors']","['industries', 'industry machinery']"
"['industries', 'railway', 'railway vehicles and railway components', 'defense products']","['financial services', 'banking services']"
"['technology', 'internet or mobile app based business', 'ecommerce', 'software and it']","['energy', 'uranium']"
"['financial services', 'banking services']","['consumer defensive', 'fmcg', 'household products']"
"['industries', 'industry machinery']","['consumer cyclical', 'retail', 'fashion and luxury goods']"
precious metals,['software and it infrastructure']
"['technology', 'semiconductors']","['energy', 'oil and gas']"
"['technology', 'software and it']","['financial services', 'asset management']"
"['financial services', 'banking services']","['technology', 'semiconductors']"
"['financial services', 'banking services']","['industries', 'industry machinery']"
"['utilities', 'electronics', 'electrical products', 'electric utilities', 'consumer durables', 'consumer electronics', 'home appliances', 'electricity generation']","['consumer cyclical', 'automobile parts', 'automobile']"
"['financial services', 'insurance']","['basic materials', 'gold mining', 'mining']"
"['energy', 'uranium']","['industries', 'industry machinery']"
"['basic materials', 'gold mining', 'mining']","['technology', 'software and it']"
"['industries', 'industry machinery']","['technology', 'software and it']"
"['technology', 'semiconductors']","['communication services', 'telecom']"
"['consumer cyclical', 'automobile parts', 'automobile']","['consumer defensive', 'consumer services', 'publishing']"
"['financial services', 'asset management']","['financial services', 'banking services']"
"['energy', 'oil and gas']","['consumer cyclical', 'automobile', 'automobile parts']"
software and it infrastructure,"['real estate', 'financial services']"
"['consumer cyclical', 'retail', 'fashion and luxury goods', 'shoes', 'beauty and personal care', 'personal care products', 'internet or mobile app based business', 'ecommerce']","['industries', 'industry machinery']"
"['consumer defensive', 'fmcg', 'household products', 'chemicals']","['basic materials', 'chemicals', 'apparels and accessories']"
"['industries', 'industry machinery']","['industries', 'electrical products', 'product testing services']"
"['basic materials', 'chemicals', 'apparels and accessories', 'textile']","['basic materials', 'mining']"
"['industries', 'industry machinery']","['consumer cyclical', 'real estate', 'investments']"
"['real estate', 'financial services']","['industries', 'tools and equipment']"
"['consumer cyclical', 'automobile', 'automobile parts']",['real estate']
"['financial services', 'banking services']","['construction materials', 'cement']"
"['consumer defensive', 'consumer services', 'publishing', 'education']","['basic materials', 'iron and steel']"
