02-GioPonSpiz-industry,03-gren-industry,04-iGMM-industry,05-MalPatSaj-industry,06-MarScoToc-industry,10-DeBiGa-industry,02-GioPonSpiz-sector,03-gren-sector,04-iGMM-sector,05-MalPatSaj-sector,06-MarScoToc-sector,07-silvestri-sector,10-DeBiGa-sector
household & personal products,household & personal products,software—infrastructure,household & personal products,asset management,telecom services,consumer staples,consumer staples,technology,consumer staples,financials,consumer staples,communication services
banks,banks,oil & gas integrated,banks,biotechnology,medical devices,financials,financials,energy,financials,healthcare,financials,healthcare
copper,copper,medical distribution,copper,asset management,utilities—regulated electric,basic materials,basic materials,healthcare,basic materials,financials,basic materials,utilities
farm & heavy construction machinery,farm & heavy construction machinery,oil & gas integrated,farm & heavy construction machinery,specialty retail,leisure,industrials,industrials,energy,industrials,consumer discretionary,industrials,consumer discretionary
telecom services,telecom services,chemicals,telecom services,real estate services,banks,communication services,communication services,basic materials,communication services,real estate,communication services,financials
semiconductors,semiconductors,apparel retail,semiconductors,asset management,conglomerates,technology,technology,consumer discretionary,technology,financials,technology,industrials
mortgage finance,mortgage finance,semiconductors,mortgage finance,specialty chemicals,oil & gas integrated,financials,financials,technology,financials,basic materials,financials,energy
utilities—regulated electric,utilities—regulated electric,reit—retail,utilities—regulated electric,asset management,travel services,utilities,utilities,real estate,utilities,financials,utilities,consumer discretionary
specialty chemicals,specialty chemicals,conglomerates,specialty chemicals,asset management,software—application,basic materials,basic materials,industrials,basic materials,financials,basic materials,technology
entertainment,entertainment,insurance—property & casualty,entertainment,asset management,scientific & technical instruments,communication services,communication services,financials,communication services,financials,communication services,technology
semiconductors,semiconductors,credit services,semiconductors,broadcasting,information technology services,technology,technology,financials,technology,communication services,technology,technology
scientific & technical instruments,scientific & technical instruments,aerospace & defense,scientific & technical instruments,asset management,software—application,technology,technology,industrials,technology,financials,technology,technology
lodging,lodging,auto manufacturers,lodging,asset management,semiconductors,consumer discretionary,consumer discretionary,consumer discretionary,consumer discretionary,financials,consumer discretionary,technology
travel services,travel services,auto parts,travel services,banks,internet content & information,consumer discretionary,consumer discretionary,consumer discretionary,consumer discretionary,financials,consumer discretionary,communication services
farm & heavy construction machinery,farm & heavy construction machinery,telecom services,farm & heavy construction machinery,asset management,reit—industrial,industrials,industrials,communication services,industrials,financials,industrials,real estate
broadcasting,broadcasting,auto manufacturers,broadcasting,specialty business services,specialty industrial machinery,communication services,communication services,consumer discretionary,communication services,industrials,communication services,industrials
farm products,farm products,oil & gas integrated,farm products,information technology services,packaged foods,consumer staples,consumer staples,energy,consumer staples,technology,consumer staples,consumer staples
banks,banks,conglomerates,banks,credit services,computer hardware,financials,financials,industrials,financials,financials,financials,technology
medical instruments & supplies,medical instruments & supplies,semiconductors,medical instruments & supplies,asset management,other industrial metals & mining,healthcare,healthcare,technology,healthcare,financials,healthcare,basic materials
capital markets,capital markets,semiconductors,capital markets,asset management,entertainment,financials,financials,technology,financials,financials,financials,communication services
reit—residential,reit—residential,apparel retail,reit—residential,internet retail,software—application,real estate,real estate,consumer discretionary,real estate,consumer discretionary,real estate,technology
biotechnology,biotechnology,banks,biotechnology,farm products,gold,healthcare,healthcare,financials,healthcare,consumer staples,healthcare,basic materials
medical instruments & supplies,medical instruments & supplies,oil & gas e&p,medical instruments & supplies,real estate services,banks,healthcare,healthcare,energy,healthcare,real estate,healthcare,financials
apparel manufacturing,apparel manufacturing,utilities—diversified,apparel manufacturing,softwareapplication,insurance—life,consumer discretionary,consumer discretionary,utilities,consumer discretionary,technology,consumer discretionary,financials
specialty industrial machinery,specialty industrial machinery,chemicals,specialty industrial machinery,gold,medical instruments & supplies,industrials,industrials,basic materials,industrials,basic materials,industrials,healthcare
utilities—regulated electric,utilities—regulated electric,consulting services,utilities—regulated electric,credit services,electronic gaming & multimedia,utilities,utilities,industrials,utilities,financials,utilities,communication services
textile manufacturing,textile manufacturing,financial data & stock exchanges,textile manufacturing,specialty business services,medical care facilities,consumer discretionary,consumer discretionary,financials,consumer discretionary,industrials,consumer discretionary,healthcare
biotechnology,biotechnology,diagnostics & research,biotechnology,specialty business services,other industrial metals & mining,healthcare,healthcare,healthcare,healthcare,industrials,healthcare,basic materials
agricultural inputs,agricultural inputs,auto manufacturers,agricultural inputs,financial data & stock exchanges,consulting services,basic materials,basic materials,consumer discretionary,basic materials,financials,basic materials,industrials
beverages—brewers,beverages—brewers,internet content & information,beverages—brewers,asset management,banks,consumer staples,consumer staples,communication services,consumer staples,financials,consumer staples,financials
railroads,railroads,software—infrastructure,railroads,apparel manufacturing,real estate—diversified,industrials,industrials,technology,industrials,consumer discretionary,,real estate
chemicals,chemicals,discount stores,chemicals,specialty industrial machinery,integrated freight & logistics,basic materials,basic materials,consumer staples,basic materials,industrials,industrials,industrials
,diagnostics & research,insurance—diversified,diagnostics & research,communication equipment,waste management,,healthcare,financials,healthcare,technology,basic materials,industrials
consumer electronics,consumer electronics,oil & gas refining & marketing,consumer electronics,asset management,                                        utilities—renewable                                    ,technology,technology,energy,technology,financials,,                                        utilities                                    
biotechnology,biotechnology,railroads,biotechnology,engineering & construction,restaurants,healthcare,healthcare,industrials,healthcare,industrials,technology,consumer discretionary
marine shipping,marine shipping,beverages—brewers,marine shipping,asset management,restaurants,industrials,industrials,consumer staples,industrials,financials,healthcare,consumer discretionary
communication equipment,communication equipment,beverages—brewers,communication equipment,other industrial metals & mining,banks,technology,technology,consumer staples,technology,basic materials,industrials,financials
packaged foods,packaged foods,telecom services,packaged foods,drug manufacturersspecialty & generic,beverages—brewers,consumer staples,consumer staples,communication services,consumer staples,healthcare,technology,consumer staples
insurance—property & casualty,insurance—property & casualty,staffing & employment services,insurance—property & casualty,packaged foods,capital markets,financials,financials,industrials,financials,consumer staples,consumer staples,financials
banks,banks,beverages—non-alcoholic,banks,softwareapplication,drug manufacturers—specialty & generic,financials,financials,consumer staples,financials,technology,financials,healthcare
farm & heavy construction machinery,farm & heavy construction machinery,drug manufacturers—general,farm & heavy construction machinery,beveragesbrewers,engineering & construction,industrials,industrials,healthcare,industrials,consumer staples,financials,industrials
utilities—regulated gas,utilities—regulated gas,building products & equipment,utilities—regulated gas,oil & gas e&p,communication equipment,utilities,utilities,industrials,utilities,energy,industrials,technology
beverages—non-alcoholic,beverages—non-alcoholic,utilities—diversified,beverages—non-alcoholic,leisure,drug manufacturers—specialty & generic,consumer staples,consumer staples,utilities,consumer staples,consumer discretionary,utilities,healthcare
reit—residential,reit—residential,oil & gas equipment & services,reit—residential,agricultural inputs,reit—retail,real estate,real estate,energy,real estate,basic materials,consumer staples,real estate
specialty chemicals,specialty chemicals,beverages—wineries & distilleries,specialty chemicals,biotechnology,department stores,basic materials,basic materials,consumer staples,basic materials,healthcare,real estate,consumer discretionary
software—infrastructure,software—infrastructure,chemicals,software—infrastructure,oil & gas e&p,biotechnology,technology,technology,basic materials,technology,energy,basic materials,healthcare
utilities—independent power producers,utilities—independent power producers,semiconductors,utilities—independent power producers,communication equipment,capital markets,utilities,utilities,technology,utilities,technology,technology,financials
conglomerates,conglomerates,publishing,conglomerates,building products & equipment,electronic gaming & multimedia,industrials,industrials,communication services,industrials,industrials,utilities,communication services
auto manufacturers,auto manufacturers,software—application,auto manufacturers,real estate services,telecom services,consumer discretionary,consumer discretionary,technology,consumer discretionary,real estate,industrials,communication services
banks,banks,engineering & construction,banks,softwareapplication,specialty retail,financials,financials,industrials,financials,technology,consumer discretionary,consumer discretionary
apparel manufacturing,apparel manufacturing,medical devices,apparel manufacturing,asset management,capital markets,consumer discretionary,consumer discretionary,healthcare,consumer discretionary,financials,financials,financials
medical devices,medical devices,copper,medical devices,paper & paper products,aerospace & defense,healthcare,healthcare,basic materials,healthcare,basic materials,consumer discretionary,industrials
consulting services,consulting services,telecom services,consulting services,asset management,                                        resorts & casinos                                    ,industrials,industrials,communication services,industrials,financials,healthcare,                                        consumer discretionary                                    
beverages—brewers,beverages—brewers,beverages—non-alcoholic,beverages—brewers,asset management,utilities—independent power producers,consumer staples,consumer staples,consumer staples,consumer staples,financials,industrials,utilities
banks,banks,household & personal products,banks,electrical equipment & parts,other industrial metals & mining,financials,financials,consumer staples,financials,industrials,consumer staples,basic materials
oil & gas e&p,oil & gas e&p,banks,oil & gas e&p,specialty business services,medical care facilities,energy,energy,financials,energy,industrials,financials,healthcare
railroads,railroads,software—infrastructure,railroads,specialty retail,engineering & construction,industrials,industrials,technology,industrials,consumer discretionary,energy,industrials
semiconductors,semiconductors,specialty industrial machinery,semiconductors,medical devices,airlines,technology,technology,industrials,technology,healthcare,industrials,industrials
capital markets,capital markets,credit services,capital markets,asset management,banks,financials,financials,financials,financials,financials,technology,financials
household & personal products,household & personal products,financial data & stock exchanges,household & personal products,insuranceproperty & casualty,broadcasting,consumer staples,consumer staples,financials,consumer staples,financials,financials,communication services
integrated freight & logistics,integrated freight & logistics,internet content & information,integrated freight & logistics,broadcasting,insurance—property & casualty,industrials,industrials,communication services,industrials,communication services,consumer staples,financials
building products & equipment,building products & equipment,integrated freight & logistics,building products & equipment,softwareapplication,reit—healthcare facilities,industrials,industrials,industrials,industrials,technology,industrials,real estate
auto manufacturers,auto manufacturers,software—infrastructure,auto manufacturers,oil & gas e&p,computer hardware,consumer discretionary,consumer discretionary,technology,consumer discretionary,energy,industrials,technology
insurance—property & casualty,insurance—property & casualty,agricultural inputs,insurance—property & casualty,oil & gas refining & marketing,grocery stores,financials,financials,basic materials,financials,energy,consumer discretionary,consumer staples
agricultural inputs,agricultural inputs,oil & gas e&p,agricultural inputs,security & protection services,asset management,basic materials,basic materials,energy,basic materials,industrials,financials,financials
building products & equipment,building products & equipment,specialty industrial machinery,building products & equipment,biotechnology,packaging & containers,industrials,industrials,industrials,industrials,healthcare,basic materials,consumer discretionary
farm & heavy construction machinery,farm & heavy construction machinery,software—infrastructure,farm & heavy construction machinery,shell companies,aerospace & defense,industrials,industrials,technology,industrials,financials,industrials,industrials
banks,banks,marine shipping,banks,information technology services,advertising agencies,financials,financials,industrials,financials,technology,industrials,communication services
reit—industrial,reit—industrial,banks,reit—industrial,asset management,auto parts,real estate,real estate,financials,real estate,financials,financials,consumer discretionary
restaurants,restaurants,information technology services,restaurants,real estate services,consumer electronics,consumer discretionary,consumer discretionary,technology,consumer discretionary,real estate,real estate,technology
semiconductors,semiconductors,semiconductors,semiconductors,drug manufacturersspecialty & generic,specialty industrial machinery,technology,technology,technology,technology,healthcare,consumer discretionary,industrials
communication equipment,communication equipment,specialty industrial machinery,communication equipment,rental & leasing services,software—infrastructure,technology,technology,industrials,technology,industrials,technology,technology
specialty retail,specialty retail,oil & gas e&p,specialty retail,utilitiesrenewable,banks,consumer discretionary,consumer discretionary,energy,consumer discretionary,utilities,technology,financials
insurance—life,insurance—life,electronic gaming & multimedia,insurance—life,building materials,                                        oil & gas equipment & services                                    ,financials,financials,communication services,financials,basic materials,consumer discretionary,                                        energy                                    
banks,banks,financial data & stock exchanges,banks,"furnishings, fixtures & appliances",drug manufacturers—general,financials,financials,financials,financials,consumer discretionary,financials,healthcare
banks,banks,software—application,banks,biotechnology,diagnostics & research,financials,financials,technology,financials,healthcare,financials,healthcare
scientific & technical instruments,scientific & technical instruments,electronic gaming & multimedia,scientific & technical instruments,aerospace & defense,software—application,technology,technology,communication services,technology,industrials,financials,technology
financial data & stock exchanges,financial data & stock exchanges,banks,financial data & stock exchanges,engineering & construction,beverages—brewers,financials,financials,financials,financials,industrials,technology,consumer staples
thermal coal,thermal coal,banks,thermal coal,conglomerates,software—application,energy,energy,financials,energy,industrials,financials,technology
leisure,leisure,banks,leisure,softwareapplication,other industrial metals & mining,consumer discretionary,consumer discretionary,financials,consumer discretionary,technology,energy,basic materials
insurance—life,insurance—life,waste management,insurance—life,asset management,entertainment,financials,financials,industrials,financials,financials,consumer discretionary,communication services
integrated freight & logistics,integrated freight & logistics,electrical equipment & parts,integrated freight & logistics,home improvement retail,                                        oil & gas integrated                                    ,industrials,industrials,industrials,industrials,consumer discretionary,financials,                                        energy                                    
real estate—diversified,real estate—diversified,banks,real estate—diversified,asset management,insurance—life,real estate,real estate,financials,real estate,financials,industrials,financials
banks,banks,insurance—property & casualty,banks,asset management,aerospace & defense,financials,financials,financials,financials,financials,real estate,industrials
consulting services,consulting services,specialty industrial machinery,consulting services,asset management,farm & heavy construction machinery,industrials,industrials,industrials,industrials,financials,financials,industrials
other industrial metals & mining,other industrial metals & mining,biotechnology,other industrial metals & mining,agricultural inputs,beverages—brewers,basic materials,basic materials,healthcare,basic materials,basic materials,industrials,consumer staples
medical care facilities,medical care facilities,specialty chemicals,medical care facilities,auto parts,luxury goods,healthcare,healthcare,basic materials,healthcare,consumer discretionary,basic materials,consumer discretionary
electronic gaming & multimedia,electronic gaming & multimedia,drug manufacturers—general,electronic gaming & multimedia,oil & gas e&p,other industrial metals & mining,communication services,communication services,healthcare,communication services,energy,healthcare,basic materials
medical instruments & supplies,medical instruments & supplies,staffing & employment services,medical instruments & supplies,"furnishings, fixtures & appliances",consumer electronics,healthcare,healthcare,industrials,healthcare,consumer discretionary,communication services,technology
insurance—life,insurance—life,utilities—diversified,insurance—life,consulting services,aerospace & defense,financials,financials,utilities,financials,industrials,healthcare,industrials
banks,banks,information technology services,banks,real estatedevelopment,apparel retail,financials,financials,technology,financials,real estate,financials,consumer discretionary
gold,gold,banks,gold,asset management,infrastructure operations,basic materials,basic materials,financials,basic materials,financials,financials,industrials
software—application,software—application,banks,software—application,gold,capital markets,technology,technology,financials,technology,basic materials,basic materials,financials
entertainment,entertainment,reit—industrial,entertainment,specialty industrial machinery,scientific & technical instruments,communication services,communication services,real estate,communication services,industrials,technology,technology
other industrial metals & mining,other industrial metals & mining,telecom services,other industrial metals & mining,softwareapplication,internet retail,basic materials,basic materials,communication services,basic materials,technology,communication services,consumer discretionary
computer hardware,computer hardware,banks,computer hardware,asset management,insurance—life,technology,technology,financials,technology,financials,basic materials,financials
packaged foods,packaged foods,utilities—diversified,packaged foods,asset management,software—application,consumer staples,consumer staples,utilities,consumer staples,financials,technology,technology
specialty industrial machinery,specialty industrial machinery,utilities—diversified,specialty industrial machinery,electronic components,diagnostics & research,industrials,industrials,utilities,industrials,technology,consumer staples,healthcare
reit—industrial,reit—industrial,insurance—diversified,reit—industrial,insuranceproperty & casualty,drug manufacturers—general,real estate,real estate,financials,real estate,financials,industrials,healthcare
internet content & information,internet content & information,aerospace & defense,internet content & information,asset management,other industrial metals & mining,communication services,communication services,industrials,communication services,financials,real estate,basic materials
semiconductors,semiconductors,biotechnology,semiconductors,asset management,footwear & accessories,technology,technology,healthcare,technology,financials,communication services,consumer discretionary
software—application,software—application,other industrial metals & mining,software—application,reitretail,medical devices,technology,technology,basic materials,technology,real estate,technology,healthcare
information technology services,information technology services,diagnostics & research,information technology services,food distribution,telecom services,technology,technology,healthcare,technology,consumer staples,technology,communication services
scientific & technical instruments,scientific & technical instruments,oil & gas e&p,scientific & technical instruments,staffing & employment services,entertainment,technology,technology,energy,technology,industrials,technology,communication services
software—application,software—application,banks,software—application,other industrial metals & mining,information technology services,technology,technology,financials,technology,basic materials,technology,technology
travel services,travel services,discount stores,travel services,oil & gas e&p,household & personal products,consumer discretionary,consumer discretionary,consumer staples,consumer discretionary,energy,technology,consumer staples
oil & gas integrated,oil & gas integrated,copper,oil & gas integrated,restaurants,software—infrastructure,energy,energy,basic materials,energy,consumer discretionary,consumer discretionary,technology
conglomerates,conglomerates,railroads,conglomerates,biotechnology,diagnostics & research,industrials,industrials,industrials,industrials,healthcare,energy,healthcare
banks,banks,telecom services,banks,advertising agencies,communication equipment,financials,financials,communication services,financials,communication services,industrials,technology
leisure,leisure,aerospace & defense,leisure,asset management,beverages—non-alcoholic,consumer discretionary,consumer discretionary,industrials,consumer discretionary,financials,financials,consumer staples
utilities—regulated electric,utilities—regulated electric,insurance brokers,utilities—regulated electric,asset management,entertainment,utilities,utilities,financials,utilities,financials,consumer discretionary,communication services
medical devices,medical devices,banks,medical devices,integrated freight & logistics,banks,healthcare,healthcare,financials,healthcare,industrials,utilities,financials
telecom services,telecom services,semiconductor equipment & materials,telecom services,computer hardware,biotechnology,communication services,communication services,technology,communication services,technology,healthcare,healthcare
consumer electronics,consumer electronics,banks,consumer electronics,real estate services,discount stores,technology,technology,financials,technology,real estate,communication services,consumer staples
oil & gas midstream,oil & gas midstream,medical instruments & supplies,oil & gas midstream,asset management,semiconductors,energy,energy,healthcare,energy,financials,technology,technology
gambling,gambling,reit—specialty,gambling,rental & leasing services,drug manufacturers—general,consumer discretionary,consumer discretionary,real estate,consumer discretionary,industrials,energy,healthcare
conglomerates,conglomerates,banks,conglomerates,biotechnology,beverages—non-alcoholic,industrials,industrials,financials,industrials,healthcare,consumer discretionary,consumer staples
reit—office,reit—office,medical care facilities,reit—office,engineering & construction,semiconductor equipment & materials,real estate,real estate,healthcare,real estate,industrials,industrials,technology
credit services,credit services,chemicals,credit services,softwareinfrastructure,internet retail,financials,financials,basic materials,financials,technology,real estate,consumer discretionary
banks,banks,software—application,banks,leisure,drug manufacturers—general,financials,financials,technology,financials,consumer discretionary,financials,healthcare
asset management,asset management,healthcare plans,asset management,asset management,drug manufacturers—general,financials,financials,healthcare,financials,financials,financials,healthcare
real estate—diversified,real estate—diversified,banks,real estate—diversified,household & personal products,oil & gas integrated,real estate,real estate,financials,real estate,consumer staples,financials,energy
capital markets,capital markets,semiconductors,capital markets,asset management,home improvement retail,financials,financials,technology,financials,financials,real estate,consumer discretionary
specialty chemicals,specialty chemicals,insurance brokers,specialty chemicals,electrical equipment & parts,beverages—wineries & distilleries,basic materials,basic materials,financials,basic materials,industrials,financials,consumer staples
internet retail,internet retail,financial data & stock exchanges,internet retail,restaurants,oil & gas integrated,consumer discretionary,consumer discretionary,financials,consumer discretionary,consumer discretionary,basic materials,energy
insurance—property & casualty,insurance—property & casualty,other industrial metals & mining,insurance—property & casualty,biotechnology,drug manufacturers—general,financials,financials,basic materials,financials,healthcare,consumer discretionary,healthcare
insurance brokers,insurance brokers,asset management,insurance brokers,real estatediversified,banks,financials,financials,financials,financials,real estate,financials,financials
information technology services,information technology services,asset management,information technology services,industrial distribution,credit services,technology,technology,financials,technology,industrials,financials,financials
resorts & casinos,resorts & casinos,banks,resorts & casinos,asset management,luxury goods,consumer discretionary,consumer discretionary,financials,consumer discretionary,financials,technology,consumer discretionary
banks,banks,utilities—regulated electric,banks,gold,consumer electronics,financials,financials,utilities,financials,basic materials,consumer discretionary,technology
telecom services,telecom services,specialty industrial machinery,telecom services,other industrial metals & mining,household & personal products,communication services,communication services,industrials,communication services,basic materials,financials,consumer staples
insurance—diversified,insurance—diversified,biotechnology,insurance—diversified,other industrial metals & mining,banks,financials,financials,healthcare,financials,basic materials,communication services,financials
,telecom services,drug manufacturers—specialty & generic,telecom services,asset management,discount stores,,communication services,healthcare,communication services,financials,financials,consumer staples
engineering & construction,engineering & construction,chemicals,engineering & construction,biotechnology,internet content & information,industrials,industrials,basic materials,industrials,healthcare,,communication services
insurance—life,insurance—life,internet retail,insurance—life,asset management,drug manufacturers—general,financials,financials,consumer discretionary,financials,financials,industrials,healthcare
tobacco,tobacco,confectioners,tobacco,packaged foods,credit services,consumer staples,consumer staples,consumer staples,consumer staples,consumer staples,financials,financials
insurance—diversified,insurance—diversified,drug manufacturers—specialty & generic,insurance—diversified,biotechnology,healthcare plans,financials,financials,healthcare,financials,healthcare,consumer staples,healthcare
,aluminum,telecom services,aluminum,medical care facilities,semiconductors,,basic materials,communication services,basic materials,healthcare,financials,technology
diagnostics & research,diagnostics & research,specialty industrial machinery,diagnostics & research,asset management,internet content & information,healthcare,healthcare,industrials,healthcare,financials,,communication services
insurance—reinsurance,insurance—reinsurance,oil & gas midstream,insurance—reinsurance,biotechnology,semiconductors,financials,financials,energy,financials,healthcare,healthcare,technology
reit—residential,reit—residential,railroads,reit—residential,publishing,financial conglomerates,real estate,real estate,industrials,real estate,communication services,financials,financials
capital markets,capital markets,travel services,capital markets,internet retail,auto manufacturers,financials,financials,consumer discretionary,financials,consumer discretionary,real estate,consumer discretionary
solar,solar,thermal coal,solar,asset management,internet retail,technology,technology,energy,technology,financials,financials,consumer discretionary
other industrial metals & mining,other industrial metals & mining,oil & gas integrated,other industrial metals & mining,gambling,internet content & information,basic materials,basic materials,energy,basic materials,consumer discretionary,technology,communication services
software—application,software—application,staffing & employment services,software—application,softwareapplication,oil & gas integrated,technology,technology,industrials,technology,technology,basic materials,energy
paper & paper products,paper & paper products,internet content & information,paper & paper products,utilitiesdiversified,software—infrastructure,basic materials,basic materials,communication services,basic materials,utilities,technology,technology
household & personal products,household & personal products,banks,household & personal products,"furnishings, fixtures & appliances",consumer electronics,consumer staples,consumer staples,financials,consumer staples,consumer discretionary,basic materials,technology
semiconductor equipment & materials,semiconductor equipment & materials,information technology services,semiconductor equipment & materials,credit services,semiconductors,technology,technology,technology,technology,financials,consumer staples,technology
beverages—brewers,beverages—brewers,discount stores,beverages—brewers,oil & gas equipment & services,farm & heavy construction machinery,consumer staples,consumer staples,consumer staples,consumer staples,energy,technology,industrials
engineering & construction,engineering & construction,software—application,engineering & construction,biotechnology,drug manufacturers—general,industrials,industrials,technology,industrials,healthcare,consumer staples,healthcare
insurance—diversified,insurance—diversified,other industrial metals & mining,insurance—diversified,internet content & information,credit services,financials,financials,basic materials,financials,communication services,industrials,financials
banks,banks,restaurants,banks,asset management,software—application,financials,financials,consumer discretionary,financials,financials,financials,technology
airlines,airlines,auto manufacturers,airlines,asset management,insurance—life,industrials,industrials,consumer discretionary,industrials,financials,financials,financials
medical instruments & supplies,medical instruments & supplies,banks,medical instruments & supplies,capital markets,healthcare plans,healthcare,healthcare,financials,healthcare,financials,industrials,healthcare
packaged foods,packaged foods,drug manufacturers—general,packaged foods,reitdiversified,oil & gas e&p,consumer staples,consumer staples,healthcare,consumer staples,real estate,healthcare,energy
semiconductors,semiconductors,aerospace & defense,semiconductors,asset management,specialty industrial machinery,technology,technology,industrials,technology,financials,consumer staples,industrials
,utilities—diversified,apparel retail,utilities—diversified,grocery stores,oil & gas integrated,,utilities,consumer discretionary,utilities,consumer staples,technology,energy
household & personal products,household & personal products,infrastructure operations,household & personal products,other industrial metals & mining,telecom services,consumer staples,consumer staples,industrials,consumer staples,basic materials,,communication services
information technology services,information technology services,capital markets,information technology services,airports & air services,banks,technology,technology,financials,technology,industrials,consumer staples,financials
real estate services,real estate services,scientific & technical instruments,real estate services,softwareapplication,banks,real estate,real estate,technology,real estate,technology,technology,financials
software—application,software—application,internet retail,software—application,asset management,drug manufacturers—general,technology,technology,consumer discretionary,technology,financials,real estate,healthcare
drug manufacturers—specialty & generic,drug manufacturers—specialty & generic,specialty industrial machinery,drug manufacturers—specialty & generic,asset management,home improvement retail,healthcare,healthcare,industrials,healthcare,financials,technology,consumer discretionary
software—infrastructure,software—infrastructure,reit—specialty,software—infrastructure,other industrial metals & mining,banks,technology,technology,real estate,technology,basic materials,healthcare,financials
telecom services,telecom services,beverages—wineries & distilleries,telecom services,other precious metals & mining,oil & gas integrated,communication services,communication services,consumer staples,communication services,basic materials,technology,energy
capital markets,capital markets,banks,capital markets,softwareapplication,banks,financials,financials,financials,financials,technology,communication services,financials
oil & gas e&p,oil & gas e&p,asset management,oil & gas e&p,oil & gas e&p,luxury goods,energy,energy,financials,energy,energy,financials,consumer discretionary
,insurance—diversified,household & personal products,insurance—diversified,specialty retail,credit services,,financials,consumer staples,financials,consumer discretionary,energy,financials
consulting services,consulting services,information technology services,consulting services,oil & gas e&p,aerospace & defense,industrials,industrials,technology,industrials,energy,,industrials
packaged foods,packaged foods,healthcare plans,packaged foods,packaged foods,medical devices,consumer staples,consumer staples,healthcare,consumer staples,consumer staples,industrials,healthcare
textile manufacturing,textile manufacturing,semiconductor equipment & materials,textile manufacturing,oil & gas e&p,tobacco,consumer discretionary,consumer discretionary,technology,consumer discretionary,energy,consumer staples,consumer staples
specialty chemicals,specialty chemicals,reit—industrial,specialty chemicals,household & personal products,capital markets,basic materials,basic materials,real estate,basic materials,consumer staples,consumer discretionary,financials
healthcare plans,healthcare plans,luxury goods,healthcare plans,asset management,banks,healthcare,healthcare,consumer discretionary,healthcare,financials,basic materials,financials
infrastructure operations,infrastructure operations,oil & gas integrated,infrastructure operations,building products & equipment,entertainment,industrials,industrials,energy,industrials,industrials,healthcare,communication services
,utilities—diversified,beverages—brewers,utilities—diversified,lumber & wood production,capital markets,,utilities,consumer staples,utilities,basic materials,industrials,financials
medical care facilities,medical care facilities,farm & heavy construction machinery,medical care facilities,other industrial metals & mining,telecom services,healthcare,healthcare,industrials,healthcare,basic materials,,communication services
banks,banks,aerospace & defense,banks,beverageswineries & distilleries,banks,financials,financials,industrials,financials,consumer staples,healthcare,financials
banks,banks,insurance—life,banks,integrated freight & logistics,utilities—regulated electric,financials,financials,financials,financials,industrials,financials,utilities
auto parts,auto parts,other industrial metals & mining,auto parts,medical devices,specialty chemicals,consumer discretionary,consumer discretionary,basic materials,consumer discretionary,healthcare,financials,basic materials
utilities—regulated gas,utilities—regulated gas,consumer electronics,utilities—regulated gas,asset management,internet content & information,utilities,utilities,technology,utilities,financials,consumer discretionary,communication services
utilities—independent power producers,utilities—independent power producers,banks,utilities—independent power producers,real estate services,drug manufacturers—general,utilities,utilities,financials,utilities,real estate,utilities,healthcare
specialty chemicals,specialty chemicals,oil & gas integrated,specialty chemicals,household & personal products,semiconductors,basic materials,basic materials,energy,basic materials,consumer staples,utilities,technology
entertainment,entertainment,banks,entertainment,oil & gas e&p,semiconductors,communication services,communication services,financials,communication services,energy,basic materials,technology
other industrial metals & mining,other industrial metals & mining,luxury goods,other industrial metals & mining,marine shipping,telecom services,basic materials,basic materials,consumer discretionary,basic materials,industrials,communication services,communication services
software—application,software—application,credit services,software—application,advertising agencies,railroads,technology,technology,financials,technology,communication services,basic materials,industrials
beverages—brewers,beverages—brewers,aerospace & defense,beverages—brewers,other industrial metals & mining,electrical equipment & parts,consumer staples,consumer staples,industrials,consumer staples,basic materials,technology,industrials
software—application,software—application,medical devices,software—application,internet content & information,banks,technology,technology,healthcare,technology,communication services,consumer staples,financials
diagnostics & research,diagnostics & research,tobacco,diagnostics & research,footwear & accessories,restaurants,healthcare,healthcare,consumer staples,healthcare,consumer discretionary,technology,consumer discretionary
drug manufacturers—general,drug manufacturers—general,capital markets,drug manufacturers—general,reitdiversified,banks,healthcare,healthcare,financials,healthcare,real estate,healthcare,financials
,oil & gas equipment & services,banks,oil & gas equipment & services,biotechnology,integrated freight & logistics,,energy,financials,energy,healthcare,healthcare,industrials
banks,banks,entertainment,banks,shell companies,software—application,financials,financials,communication services,financials,financials,,technology
software—infrastructure,software—infrastructure,capital markets,software—infrastructure,specialty retail,software—infrastructure,technology,technology,financials,technology,consumer discretionary,financials,technology
specialty industrial machinery,specialty industrial machinery,telecom services,specialty industrial machinery,,banks,industrials,industrials,communication services,industrials,,technology,financials
consumer electronics,consumer electronics,banks,consumer electronics,,semiconductors,technology,technology,financials,technology,,industrials,technology
auto parts,auto parts,utilities—regulated electric,auto parts,,drug manufacturers—general,consumer discretionary,consumer discretionary,utilities,consumer discretionary,,technology,healthcare
advertising agencies,advertising agencies,specialty chemicals,advertising agencies,,drug manufacturers—general,communication services,communication services,basic materials,communication services,,consumer discretionary,healthcare
aerospace & defense,aerospace & defense,internet content & information,aerospace & defense,,oil & gas integrated,industrials,industrials,communication services,industrials,,communication services,energy
packaging & containers,packaging & containers,drug manufacturers—general,packaging & containers,,aerospace & defense,consumer discretionary,consumer discretionary,healthcare,consumer discretionary,,industrials,industrials
asset management,asset management,semiconductors,asset management,,oil & gas integrated,financials,financials,technology,financials,,consumer discretionary,energy
